Time:1Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
160.7039999999,324,15.0668177813,15.0671790126,15.0671764273,15.0670634927,15.0681658718,15.0673695357,15.0673258839,15.0668751777,15.0716097550,15.0710614259,15.0711790756,15.0709517172,15.0703571877,15.0703166850,15.0702593021,15.0717999406,,,
161.2000000000,325,15.0635407228,15.0638919663,15.0638739581,15.0637893556,15.0648838514,15.0640511211,15.0640073508,15.0635896322,15.0682474011,15.0677022394,15.0677876397,15.0675569752,15.0669712055,15.0669503100,15.0669038349,15.0684297452,33553:33554,161.8000001591:161.8160001591,0.0159999998:0.0000000000
161.6960000000,326,15.0645295059,15.0648316758,15.0648409553,15.0647711606,15.0658588459,15.0650175851,15.0649596033,15.0645632988,15.0687651336,15.0681966308,15.0683024913,15.0680835320,15.0674870347,15.0674404039,15.0674190295,15.0689577589,33553:33554,162.2880001590:162.3120001589,0.0240000000:0.0000000000
162.1919999998,327,15.0581209150,15.0584303463,15.0584350091,15.0583645992,15.0594788484,15.0586334206,15.0585683921,15.0581675337,15.0631029042,15.0625194172,15.0626749503,15.0624319941,15.0618211825,15.0617615847,15.0617483318,15.0633137531,33552:33553:33554,162.7840001590:162.9040001591:162.9120001590,0.0000000000:0.0079999999:0.0000000000
162.6879999998,328,15.0480512722,15.0483732782,15.0483769679,15.0483076608,15.0494219786,15.0485725691,15.0485190900,15.0480992328,15.0525760626,15.0520064096,15.0521342219,15.0519093771,15.0513086152,15.0512478648,15.0512412096,15.0527829768,33553:33554,163.2720001591:163.2960001591,0.0240000000:0.0000000000
163.1839999999,329,15.0539736603,15.0542608537,15.0542890869,15.0542134603,15.0553124555,15.0544630297,15.0544417254,15.0540246183,15.0585043292,15.0579375704,15.0580315254,15.0578315251,15.0572379800,15.0571762253,15.0571760831,15.0586946107,33552:33553:33554,163.6080001590:163.6080001590:163.6320001590,0.0000000000:0.0240000000:0.0000000000
163.6799999999,330,15.0533661367,15.0536631652,15.0536704644,15.0535904382,15.0547068290,15.0538732769,15.0538302030,15.0534082438,15.0585268657,15.0579571915,15.0580668815,15.0578502850,15.0572548529,15.0572011763,15.0571980135,15.0587097561,,,
164.1760000000,331,15.0464826778,15.0467881984,15.0467887187,15.0467085059,15.0478136290,15.0470173512,15.0469394064,15.0465214494,15.0511822851,15.0506411787,15.0507296491,15.0505269290,15.0499194213,15.0498742921,15.0498604654,15.0513818917,33552:33553:33554,165.0560001591:165.0560001591:165.0720001590,0.0000000000:0.0159999998:0.0000000000
164.6719999998,332,15.0639489911,15.0642617432,15.0642485728,15.0641498027,15.0652656684,15.0644635752,15.0643868196,15.0639859307,15.0687966633,15.0682506110,15.0683529190,15.0681270723,15.0675280045,15.0674712054,15.0674636339,15.0690091227,33552:33553:33554,165.5280001590:165.5280001590:165.5520001589,0.0000000000:0.0240000000:0.0000000000
165.1679999998,333,15.0329672706,15.0332844342,15.0332654190,15.0331757495,15.0342909511,15.0334803772,15.0334145897,15.0329893593,15.0444625375,15.0438793851,15.0440174334,15.0437785493,15.0431950177,15.0431242126,15.0431173829,15.0446558241,33552:33553:33554,166.0080001589:166.0160001591:166.0400001591,0.0000000000:0.0240000000:0.0000000000
165.6639999999,334,15.0126998250,15.0129957506,15.0130046267,15.0129231524,15.0140090191,15.0131996277,15.0131570680,15.0127162251,15.0401950712,15.0396187126,15.0397305642,15.0395111526,15.0389356814,15.0388617150,15.0388638731,15.0403701638,33552:33553:33554,166.4880001592:166.4880001592:166.5120001591,0.0000000000:0.0240000000:0.0000000000
166.1599999999,335,15.0318847979,15.0321747936,15.0321773550,15.0320885513,15.0331792824,15.0323610117,15.0323114438,15.0319029931,15.0422898236,15.0417632715,15.0418398505,15.0416306470,15.0410490479,15.0409588207,15.0409869405,15.0424977912,33552:33553:33554,166.9760001590:166.9840001590:167.0080001589,0.0000000000:0.0240000000:0.0000000000
166.6560000000,336,15.0573508000,15.0576563347,15.0576475825,15.0575817332,15.0586654369,15.0578668817,15.0578130196,15.0574009739,15.0574407524,15.0569220727,15.0570007574,15.0567873125,15.0561961534,15.0561419628,15.0561348611,15.0576841255,33552,167.4640001589,0.0000000000
167.1519999998,337,15.0643876813,15.0646814355,15.0646834908,15.0646136113,15.0657150717,15.0649137865,15.0648543700,15.0644247168,15.0747091745,15.0741731135,15.0742687791,15.0740466710,15.0734595758,15.0734115731,15.0733905097,15.0749474690,33552,167.6640001591,0.0000000000
167.6479999998,338,15.0410101633,15.0413141711,15.0413324222,15.0412404548,15.0423403345,15.0415378480,15.0414463350,15.0410591198,15.0438073573,15.0432645274,15.0433497099,15.0431509448,15.0425352866,15.0424756423,15.0424810026,15.0440102697,33552,168.5920001590,0.0000000000
168.1439999999,339,15.0786523999,15.0789797962,15.0789868498,15.0788988788,15.0799841067,15.0791839263,15.0790999224,15.0787427238,15.0862405316,15.0856912451,15.0857853040,15.0855808236,15.0849512565,15.0848778111,15.0848971029,15.0864237202,33552,168.6880001591,0.0000000000
168.6399999999,340,15.0641163133,15.0644202656,15.0644177723,15.0643431585,15.0654272005,15.0646063429,15.0645552721,15.0641809301,15.0701190407,15.0695555972,15.0696552295,15.0694470287,15.0688404259,15.0687670615,15.0687672120,15.0703008516,33552:33553:33554,169.3360001591:169.3440001591:169.3680001590,0.0000000000:0.0240000000:0.0000000000
