Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
801.3759994,3130,101.7563242,194.3253091,39.55995675,-145.7122208,14.16952496,-301.8040564,-19.52150842,-208.8031901,41.36082153,8.678252209,101.8898928,38.64945421,22.7912592,-7.26592087,0,-97.2519637,,,,
801.3839994,3130,-77.20500175,-136.4087439,2.096359059,-72.03414395,-52.92407098,186.1019645,6.922752111,0.070655032,-17.08261963,8.610704716,-83.19971335,48.45740964,-3.696781568,-3.815496025,0,-137.4725723,,,,
801.3919994,3130,117.0081673,91.64382731,59.03787457,-188.6592427,26.61277575,-103.9379963,-15.98981241,-110.4073094,4.771067155,0.108317468,30.04761245,10.20875239,0.777914101,-16.69595128,0,209.0865183,,,,
801.3999994,3130,-18.67614432,75.54878175,28.03826564,-132.5663494,-34.38907939,-151.1423549,-10.73486295,-164.2950447,14.397785,18.72742232,48.35024504,47.20043548,35.71621405,2.999833236,0,-315.0136016,,,,
801.4079994,3130,17.58817127,-110.7251125,39.31470873,-133.6344974,-6.339846326,171.93809,-7.347786861,-3.51644246,-17.8477712,5.162138857,-80.86692812,17.46010364,6.004159906,-8.493663218,0,164.8680558,,,,
801.4159994,3130,95.81325399,216.0903911,45.85515682,-175.7674664,4.290145191,-317.0090053,-24.14612717,-214.7637901,40.85130657,3.212764607,112.3789874,31.46671763,20.38678015,-15.54632206,0,-95.72287353,,,,
801.4239994,3130,-70.3071762,-136.7127906,20.94467167,-71.8615254,-41.20415857,146.0578414,16.6238539,-41.28238209,-6.857362214,24.30715873,-71.15732505,36.82691875,35.11058973,16.1427827,0,-155.9761421,,,,
801.4319994,3130,118.6345704,79.61353869,63.60534262,-163.5050704,40.83437421,-132.7148097,-12.6775513,-142.8400545,21.8587834,8.880597371,39.75998028,11.70115077,18.24037237,-5.021451895,0,170.9476196,,,,
801.4399994,3130,-12.05959311,68.48414524,24.80985775,-89.26334502,-27.05338952,-149.0840489,1.183232341,-171.6401865,32.08371493,15.74356591,41.77754022,52.46452816,17.01350828,2.081700752,0,-325.5271083,,,,
801.4479994,3130,21.69050689,-95.51460061,36.30810235,-82.98010499,8.18734232,152.2238068,9.601318876,-30.84477511,-7.258121076,16.77019541,-86.44602149,7.380894646,9.790224551,1.68344413,0,158.2439639,,,,
