Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0.8,1,-21.7811461,51.47514977,0,50.08544778,0,49.69279306,16.28810193,-20.59879099,-53.6038585,0,-63.78278882,0,0.941511246,87.25600396,-8.399426342,31.60046919,,,
0.808,1,-31.95355797,36.30816727,0,56.06454267,0,39.71678663,38.45571604,111.3077935,-62.20707112,0,60.50511196,0,-21.93229171,70.01738507,49.22831181,49.51408601,,,
0.816,1,-7.948668191,62.57220732,0,29.58509698,0,39.47889866,-13.82283534,18.81436384,-73.99397211,0,45.56318141,0,-11.4710063,75.05722151,1.34831297,34.47520406,,,
0.824,1,-15.01047354,52.80647311,0,66.89533949,0,56.87679385,33.52126384,28.62121163,-47.28578657,0,-65.66898926,0,-10.43744863,90.90551098,12.19097856,43.43015677,,,
0.832,1,7.535690068,46.52476533,0,62.46721922,0,61.6997881,26.08216809,84.77142415,-60.01449649,0,111.8146728,0,-23.49416805,76.55350676,42.59758734,56.33218195,,,
0.84,1,22.18203143,68.16511496,0,65.3821002,0,77.90835187,36.05478137,-49.02569664,-22.59043786,0,-94.86142474,0,29.24356833,110.4525278,0.866558877,56.91860621,,,
0.848,1,-7.283387675,71.88363809,0,68.72469896,0,66.76679016,58.05400704,70.51142468,-24.34832008,0,30.18372728,0,-1.264594584,97.46044439,65.07097383,76.73328292,,,
0.856,1,21.02197259,68.69855705,0,31.24766419,0,42.26577642,-2.875518088,-7.965019382,-50.4551157,0,26.99604056,0,-3.894182902,81.77244597,6.209809547,45.33170925,,,
0.864,1,27.37891397,50.80602715,0,59.43223607,0,48.10956753,38.67304446,4.805121658,-33.14689164,0,-76.97073258,0,2.6519986,82.1972263,10.07572758,39.51646268,,,
0.872,1,40.54851471,86.38137998,0,58.88722888,0,56.90934153,31.23126846,60.72617128,-37.87957019,0,114.7935283,0,-17.10766517,72.90773977,46.22446533,54.38623038,,,
0.88,1,38.46777528,79.66463935,0,61.40050672,0,53.47167568,27.32386974,-52.15029206,-14.94501794,0,-80.64874532,0,20.95045418,98.49113252,3.052943905,51.30254432,,,
0.888,1,22.58968358,45.9547279,0,69.07283291,0,41.8052451,48.0493471,73.83753864,-36.43198359,0,33.12744522,0,-8.545798176,73.32814653,56.4127549,60.72924891,,,
0.896,1,41.78276726,56.5132383,0,41.61845683,0,35.2774651,4.517733307,-8.206233325,-44.20217205,0,17.45829527,0,-6.529994191,69.28482138,7.547930606,43.88780255,,,
0.904,1,12.25198885,28.16047157,0,57.5004858,0,30.08289089,36.79125435,8.581415016,-25.43928632,0,-91.19241306,0,-11.43249949,62.8113378,14.38809476,43.63414466,,,
0.912,1,36.44055073,58.61137262,0,49.59393309,0,41.8940848,21.92043871,65.2500794,-55.08728115,0,85.88244829,0,-37.09564885,45.10515246,33.36001874,45.68710859,,,
0.92,1,47.58831416,74.22706086,0,66.8958815,0,57.07055242,37.44398335,-47.70645264,-22.95736732,0,-109.8906771,0,15.08190403,92.72284516,-2.38239303,51.86879292,,,
0.928,1,23.83898743,55.04072962,0,79.31443473,0,45.01355258,61.35296039,73.08806858,-30.40836211,0,27.18288178,0,-15.63049392,72.39859061,62.97158195,68.24399585,,,
0.936,1,54.82201196,80.21555329,0,50.24332431,0,39.66214341,12.02585994,-5.178052424,-42.34578083,0,26.56513471,0,-12.70951119,68.38392672,14.50150746,49.68070158,,,
0.944,1,37.43094008,50.59904198,0,74.61345887,0,42.99094252,58.75404396,26.21710448,-17.62854522,0,-77.02873355,0,2.570392008,79.2119634,26.43808561,57.62486279,,,
0.952,1,44.04465474,46.90727887,0,65.47566406,0,51.65629971,46.84708412,87.88853828,-45.3296256,0,103.844633,0,-23.14578357,60.62306624,47.66172425,61.50388087,,,
0.96,1,43.41816807,51.92821601,0,65.16930266,0,54.62168553,44.49271537,-29.70628372,-24.05419487,0,-89.45839574,0,21.62512812,88.21456979,4.740851348,57.43428077,,,
0.968,1,15.14216357,45.69418322,0,70.01203459,0,41.66484066,66.1630774,89.97890371,-32.52913786,0,34.30691104,0,0.072680373,65.8475894,61.71011693,70.8557141,,,
0.976,1,27.10344697,72.47987745,0,47.31430357,0,47.86480308,20.85505791,12.25579607,-55.0417179,0,20.46473893,0,-3.786426698,67.34718028,7.351282691,53.87815824,,,
0.984,1,18.10550793,52.04205298,0,78.64872302,0,59.70958008,62.5607091,26.9321698,-43.65454956,0,-68.53487114,0,2.815159926,81.80614349,19.84670011,63.31785902,,,
0.992,1,48.78774631,55.61246802,0,73.27083848,0,65.99363825,51.8084733,73.61241153,-54.04116392,0,125.7021248,0,-12.00167504,79.8003421,49.24078766,74.87962289,,,
1,1,46.675926,58.13118841,0,66.6241086,0,60.01464758,44.85359086,-38.13190918,-29.71047782,0,-67.45388815,0,22.08300825,105.3900351,-0.856248293,59.20183758,,,
1.008,1,4.615793425,41.245683,0,68.98894621,0,46.18061786,58.61247997,74.63024183,-45.69712731,0,38.57417441,0,-3.653213088,74.4218546,49.68094955,64.92043382,,,
1.016,1,25.3685732,59.21829783,0,50.30081927,0,52.94122645,18.37415192,-21.15276529,-50.84199774,0,1.9771838,0,4.584754592,78.99876887,4.117467454,55.19750838,,,
1.024,2,16.06438553,36.03331493,0,67.95026855,0,44.80446986,53.28806599,6.714815925,-36.77617746,0,-90.85411169,0,-1.619316916,77.77191335,15.26732488,48.76158164,,,
1.032,2,27.17820408,41.40881495,0,56.04985912,0,45.78382439,29.64212569,70.07328659,-62.94307461,0,91.48966293,0,-23.10468594,56.70856549,35.04621635,49.01648735,,,
1.04,2,37.62324167,51.78708042,0,70.13258281,0,65.71858627,32.4033152,-46.59783909,-30.51764354,0,-103.1225138,0,20.40864224,92.72794715,-11.44333861,49.10611517,,,
1.048,2,4.479767127,31.88910363,0,70.09756541,0,50.69571108,49.46089072,80.54039307,-38.2032371,0,37.39535596,0,-10.82454523,71.06855743,51.42037367,59.29749708,,,
1.056,2,24.86756322,59.01623971,0,38.59454562,0,48.1911019,1.080592926,1.914161552,-59.02961495,0,25.97060087,0,-7.014309781,63.72518333,2.441198072,39.47459652,,,
1.064,2,26.12948727,54.43764823,0,81.32722016,0,60.98199104,50.52666535,17.34912489,-31.69976445,0,-71.36201716,0,15.00107025,78.96857489,17.3422702,52.20975604,,,
1.072,2,29.00417638,53.59713412,0,75.72362671,0,63.2856741,38.57450303,73.73004995,-39.52836194,0,107.4099723,0,2.50712496,76.02194578,52.65899407,70.35855361,,,
1.08,2,24.5342442,34.28183779,0,60.29180216,0,59.2929824,26.16659589,-30.67147763,-26.59499393,0,-83.62558453,0,18.76151703,94.70879976,1.016742418,55.31391993,,,
1.088,2,-8.380941949,3.117777148,0,57.41924125,0,41.15672877,37.34445583,97.44969543,-40.68931261,0,48.02151612,0,-11.84502544,66.22362015,50.6362443,57.65113584,,,
