Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id
583.3199996,2278,75.70206358,46.47918839,90.08091702,39.91678457,12.41027741,71.7175961,-88.50367787,11.19103741,0,132.7907818,-100.2554131,0,0,1698.177839,-67.71319604,315.0120265,
583.3279996,2278,-29.01091183,21.9594493,-3.566675224,-38.33925037,56.15896567,-232.9530259,124.7317975,-344.5878789,0,-38.63777837,296.4140142,0,0,381.5059861,72.42953343,-256.8072677,
583.3359996,2278,-8.330552675,20.15214203,-3.47297581,135.669217,-44.75683098,360.3456706,41.30045868,693.8464539,0,97.29305974,-308.7077244,0,0,905.8997585,-6.792163363,200.2931759,
583.3439996,2278,55.31304718,26.2699116,78.99326633,-70.99003487,77.95280051,-282.657424,-62.99460845,-601.2260368,0,33.48132376,273.2238463,0,0,1348.067284,-22.17709937,28.10239135,
583.3519996,2278,-62.86403122,21.12311023,-46.11168364,98.54810391,-7.951057365,170.4520122,184.9411209,452.2420131,0,7.526378444,-63.68982988,0,0,81.28270655,72.06134462,-156.1120257,
583.3599996,2278,69.81286551,36.0847564,72.23244463,31.65836909,9.47211144,84.62547191,-105.9572517,47.52410346,0,126.9483294,-109.6110007,0,0,1675.559957,-68.69100634,324.8176924,
583.3679996,2278,-12.66088673,33.77073291,9.056448341,-41.31226956,54.74932387,-247.4129199,106.3649388,-388.4175895,0,-16.32063336,287.4699278,0,0,377.7233755,53.80056335,-260.1348758,
583.3759996,2278,-6.771573695,19.47002519,4.867430038,156.7446141,-20.32786887,384.3232611,54.7599068,713.0069045,0,121.1955309,-315.0682919,0,0,845.3371311,-0.491366952,201.4842995,
583.3839996,2278,43.32751487,14.65149382,70.44617892,-73.66948414,91.09084697,-253.8671092,-74.5472359,-569.4462248,0,22.25116771,277.6078788,0,0,1389.639418,-6.729175762,65.71653124,
583.3919996,2278,-63.06375938,27.89151545,-42.34634829,90.20468169,-8.652427527,167.8823581,179.267582,433.69938,0,-18.12386674,-49.2068994,0,0,70.16798756,73.98285335,-161.0380142,
583.3999996,2278,70.8040208,33.39568845,82.00842203,54.46229568,17.0867287,122.1564824,-100.4124251,99.6072975,0,127.6201495,-119.7154201,0,0,1662.452469,-63.6876099,339.1486939,
583.4079996,2278,-26.36957128,18.8931915,-6.353031972,-48.23938059,59.97169418,-239.8307671,91.93168277,-378.8439312,0,-29.61181238,321.674373,0,0,436.3650651,71.60804738,-230.7500479,
583.4159996,2278,-15.18989051,22.82581007,-18.21231529,138.5466297,-41.39126646,378.1736284,46.04077601,733.7045396,0,101.8269203,-300.1993991,0,0,833.2613531,5.779245667,192.9607769,
583.4239996,2279,61.59452437,18.25502548,79.5419532,-74.67489823,69.6806932,-264.5269013,-88.19633812,-565.0881726,0,36.02719219,256.9545718,0,0,1412.261395,-23.08291438,59.53867335,
583.4319996,2279,-49.36362353,33.01377865,-37.77993269,94.76797318,-13.27509593,134.6604053,175.8268336,394.9610867,0,-10.3645631,-35.54763641,0,0,44.46092905,75.88481692,-184.8301239,
