Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Channel 17,Channel 18,Channel 19,Event Id
464.8959997,1816,0,-80.12323922,0,114.1073721,35.99494403,-7.26322724,0,26.85596725,0,66.63534248,-261.2508238,0,-96.96229081,-37.79212183,0,0,0.006956797,-0.001848161,0.009968385,
464.9039997,1816,0,283.5625822,0,224.7891986,-59.51693009,-64.10343708,0,-54.26095831,0,-73.5199702,275.0532009,0,114.3237349,33.95708362,0,0,0.007817678,-0.002259932,0.010889549,
464.9119997,1816,0,-161.4677244,0,70.81161117,113.3887731,102.5727024,0,110.2356725,0,18.19417872,-114.4839743,0,-62.91645282,10.42788496,0,0,0.003411103,-0.000181548,0.009306715,
464.9199997,1816,0,168.1286902,0,211.4551416,-44.57914839,-73.87896691,0,-48.71496498,0,12.23325027,-2.710709412,0,3.171496219,-11.07110075,0,0,-0.002240338,0.002576564,0.007956319,
464.9279997,1816,0,50.48328799,0,122.2312105,64.05588333,91.70333902,0,81.141839,0,-49.19479974,219.8233994,0,62.93667722,44.90299323,0,0,-0.001537712,0.002171889,0.008265486,
464.9359997,1816,0,-91.79266633,0,114.9891771,42.71578844,19.49354162,0,47.16421273,0,87.35781474,-253.0530977,0,-106.1773505,-31.44580686,0,0,-0.000678161,0.001630093,0.008171259,
464.9439997,1816,0,279.7309373,0,229.9591923,-69.38482986,-47.05727278,0,-43.0023877,0,-61.03990188,290.7781279,0,115.7162678,49.74430257,0,0,-0.002079891,0.002295991,0.008044933,
464.9519997,1816,0,-166.3847947,0,68.78571028,105.4683977,110.8756116,0,121.6957839,0,35.31783023,-104.3745397,0,-60.26607795,20.0297073,0,0,-0.001458056,0.001882069,0.008008323,
464.9599997,1816,0,179.0035413,0,228.4929135,-53.64954806,-84.80081998,0,-47.22713012,0,10.94390389,3.627747332,0,13.24539239,4.183494379,0,0,-0.003464145,0.004548098,0.010529169,
464.9679997,1816,0,61.62250468,0,146.7548531,60.08121327,69.32879417,0,73.57538322,0,-67.04489372,221.6277117,0,74.33928565,59.77194407,0,0,-0.006697502,0.008871722,0.014599431,
464.9759997,1816,0,-97.91642965,0,123.3983102,47.97199572,0.376530508,0,39.31215211,0,70.8422176,-263.2301951,0,-107.5157844,-34.76001372,0,0,-0.005994006,0.008079844,0.014020971,
464.9839997,1816,0,272.1039821,0,241.7073619,-64.8707216,-59.78619766,0,-47.62475276,0,-81.32279389,277.3646596,0,112.7182504,42.86171906,0,0,-0.005803338,0.007166828,0.012800176,
464.9919997,1816,0,-173.976366,0,76.1932766,114.8316116,104.4123443,0,123.0557937,0,24.29730549,-120.8493823,0,-64.14591926,7.145570194,0,0,-0.006461387,0.008177949,0.013872881,
464.9999997,1816,0,175.5193971,0,229.6494441,-58.45600462,-100.6170191,0,-55.01285573,0,7.723847249,-15.10138064,0,3.905881216,-15.90400299,0,0,-0.005233511,0.002224675,0.012140953,
465.0079997,1816,0,73.06167269,0,162.470489,33.75169567,48.51705342,0,60.9913307,0,-81.77208258,213.1335105,0,72.80572584,55.68062115,0,0,-0.004131649,-0.005999908,0.010733288,
465.0159997,1816,0,-84.27524089,0,130.0501827,45.92645911,7.705397591,0,54.39738515,0,59.38483733,-271.0728219,0,-107.7861602,-32.13964179,0,0,-0.004421309,-0.004784317,0.011078765,
465.0239997,1816,0,286.7988685,0,230.8066274,-42.36680495,-33.52420343,0,-12.5940913,0,-69.82980176,261.4194577,0,102.5861257,35.27077222,0,0,-0.004731884,-0.002972955,0.010840606,
465.0319997,1816,0,-157.1624016,0,74.10047074,119.9787926,118.3831385,0,141.5751809,0,36.20626872,-122.7911152,0,-67.41245196,6.720337621,0,0,-0.004611219,-0.004965087,0.010742633,
465.0399997,1816,0,176.6347111,0,214.9089955,-50.25262889,-77.47336842,0,-34.00459099,0,12.78465326,-4.75906455,0,8.601559369,-8.807690186,0,0,-0.009134746,-0.002767917,0.01148926,
465.0479997,1816,0,57.78417175,0,114.0218189,66.29440121,92.81997159,0,104.5845517,0,-59.09481594,213.5374135,0,70.36049962,49.81225639,0,0,-0.016202851,-0.00152865,0.012770155,
465.0559997,1816,0,-103.7754012,0,84.85409314,63.18736678,24.98719007,0,77.96851953,0,85.8369966,-271.4679464,0,-110.5146895,-43.38628632,0,0,-0.015315955,-0.002142093,0.012472334,
465.0639997,1816,0,260.0073501,0,190.5117411,-40.50619621,-42.97667232,0,-12.38472427,0,-64.07802522,259.2346418,0,102.2750798,26.79957384,0,0,-0.013631098,-0.001645381,0.011979646,
465.0719997,1816,0,-185.5068147,0,23.35698391,123.3126146,116.3979401,0,144.5894532,0,27.20602689,-141.5262535,0,-72.72354344,-3.048977676,0,0,-0.015558687,-0.001895372,0.012259691,
