Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,
162.1599999,633,-156.3916808,-31.901176,-32.35483311,57.72383168,11.2339629,28.81249351,7.807814836,-73.37795781,-300.4534449,37.37884645,86.86556439,-106.6147045,0,-184.4629889,-486.913469,0,,,
162.1679999,633,125.5568152,-40.82909722,62.4772117,-48.84275849,-39.06514728,-80.46963144,243.9936452,251.8723062,231.7742057,-11.42471996,-43.93682688,149.4364475,0,123.8624348,240.7591857,0,,,
162.1759999,633,37.35781009,6.143122143,-70.83174268,23.7367049,-38.97471992,65.98556916,-239.9058667,-362.1859183,-147.2641138,-24.18962035,38.90807318,-69.23367861,0,-110.4765657,-14.69949847,0,,,
162.1839999,633,-116.7843331,-75.68723922,40.45148024,-4.704976817,-9.732206861,-84.12696697,288.9221862,301.6462219,-94.20130324,17.05005712,14.42156639,-2.053555948,0,-54.89584234,-319.5815569,0,,,
162.1919999,633,206.3011246,3.302857803,-9.170866058,-28.18689459,-71.30380974,2.436018254,-88.86830792,-160.4779113,199.9321804,-48.257845,-36.42062842,97.5673917,0,100.8452287,430.8483644,0,,,
162.1999999,633,-168.2757518,-48.77829376,-47.55822787,40.21606643,-12.1128995,17.15388874,-6.22464786,-91.25169453,-312.7670622,8.522322372,58.40204222,-128.2689751,0,-203.6249687,-465.4266588,0,,,
162.2079999,633,112.5658825,-48.30777689,59.90653128,-50.40898566,-43.94021566,-92.83263226,244.5860592,248.2248334,228.8076309,-22.15789854,-55.02024,135.6560471,0,115.6698282,236.8822242,0,,,
162.2159999,633,40.10765599,6.031536548,-72.73471534,23.50739179,-38.77715374,73.22585803,-241.3133401,-376.1939627,-134.2754386,-34.17015557,24.71374285,-75.00285231,0,-106.6612265,6.299782905,0,,,
162.2239999,633,-113.5641262,-74.83144885,33.179164,-7.336646106,-4.053598263,-65.66849749,279.207972,277.0088114,-98.66855138,17.56581217,11.27304024,-7.367496649,0,-65.186891,-330.7121924,0,,,
162.2319999,633,208.231042,-5.639916564,-7.182499344,-44.00238197,-72.38340822,-14.85806107,-91.6619475,-178.2465417,202.0095707,-54.98443916,-39.30930848,99.36821436,0,98.98481948,426.0113364,0,,,
162.2399999,633,-166.8158424,-48.07827892,-47.24873887,31.18691888,-14.90374161,6.301744031,-26.41538741,-123.9328286,-317.8684956,-11.48932897,47.91170913,-136.3742242,0,-205.4755825,-441.4247949,0,,,
162.2479999,633,122.4588816,-36.07706853,63.23702638,-42.44924736,-34.07869202,-88.64714122,232.5116189,229.1019022,226.591321,-16.1128828,-45.26414615,138.5820826,0,118.6103047,234.1887112,0,,,
162.2559999,633,59.96394701,15.21623863,-65.25681451,30.82425567,-32.95744385,65.20018083,-249.4829338,-403.5671076,-120.6521977,-18.44525485,45.09122092,-59.42061027,0,-94.74847388,2.353305875,0,,,
162.2639999,633,-110.5340797,-73.01472214,36.13520667,-3.03679833,-2.534010199,-71.17656106,278.2162407,247.6617621,-101.8240329,18.11640621,15.71125961,-9.435048954,0,-69.59527197,-336.3568687,0,,,
162.2719999,633,217.4628056,-0.00095811,-1.897758657,-34.5375783,-55.85755527,-4.051681741,-82.92083842,-191.0955445,210.35969,-43.20354326,-35.86912291,101.4991867,0,100.3993895,433.6201024,0,,,
162.2799999,633,-153.326449,-36.90469962,-43.11220474,46.99649218,5.607488391,34.65962194,-30.33263305,-151.9861615,-308.7949296,17.47563547,66.49716705,-131.9633873,0,-195.1337607,-458.0342966,0,,,
162.2879999,633,118.0313193,-42.02728154,66.06594856,-44.81554903,-31.39038521,-66.93024795,242.3178926,215.4873092,234.26758,-1.877979189,-43.92412103,131.5158336,0,123.6644978,196.9687628,0,,,
162.2959999,633,49.9165422,-3.914017045,-62.7352165,15.83779756,-35.82596749,63.66259518,-240.3860464,-412.394611,-104.7237344,-17.62860511,26.91770082,-73.81720684,0,-88.2178874,-2.007588189,0,,,
162.3039999,634,-128.7017882,-85.19493944,37.1738779,-0.425398285,-3.110261558,-76.11108711,291.8631379,245.5067188,-102.8309716,24.10772769,1.219162009,-27.67891191,0,-62.1201057,-346.0599386,0,,,
162.3119999,634,210.1818272,-13.45442961,-7.384005583,-41.8070873,-71.80888404,-8.868332818,-56.98907045,-180.1684177,222.269302,-35.50012368,-55.41979993,95.06515467,0,108.4116378,440.7682259,0,,,
162.3199999,634,-147.6499928,-49.44871175,-56.0278381,32.98659655,-8.605888945,33.1228409,-21.02876316,-155.2130544,-308.0969976,23.24255284,42.81540655,-142.6944361,0,-197.153945,-440.9371621,0,,,
